Para colar no Siafi
93429
REC. SOB. SUPERV. ADVOCACIA-GERAL DA UNIÃO
630001100600000163000NS
93176
REC. SOB. SUPERV. AG. BRAS. INTELIG. - ABIN
201011101200000120101NS
93188
REC. SOB. SUPERV. AGÊNCIA ESPACIAL BRASILEIRA
204022030012040220402NS
93417
REC. SOB. SUPERV. AG. NAC.  ÁGUAS - ANA
442054430034420544205NS
93394
REC. SOB. SUPERV. AG. NAC. AV. CIVIL - ANAC
622011132142021462201NS
93369
REC. SOB. SUPERV. AG. NAC. EM. ELÉT. - ANEEL
322103230983221032210NS
93371
REC. SOB. SUPERV. AG. NAC.  MINERAÇÃO - ANM
323963231003239632396NS
93385
REC. SOB. SUPERV. AG. NAC. SAÚDE SUPL. - ANS
362132530033621336213NS
93190
REC. SOB. SUPERV. AG. NAC. TELEC. - ANATEL
412314130014123141231NS
93391
REC. SOB. SUP. AG. NAC. TR. AQUAV. - ANTAQ
682016820106820168201NS
93390
REC. SOB. SUP. AG. NAC. TR. TERREST. - ANTT
392503930013925039250NS
93384
REC. SOB. SUP. AG. NAC. VIG. SANIT. - ANVISA
362122530023621236212NS
93425
REC. SOB. SUPERV. AG. NAC.  CINEMA - ANCINE
202032030032020320203NS
93368
REC. SOB. SUP. AG. NAC. PET. GN. BIO. - ANP
322053230303220532205NS
93407
REC. SOB. SUP. AM. AZ. TEC. DEF. SA - AMAZUL
522337720095223352233NS
93361
RECURSOS SOB SUPERVISÃO DO ARQUIVO NACIONAL
300002002470000130000NS
93193
REC. SOB. SUPERV. BANCO CENTRAL DO BRASIL
252011730571780425201NS
93406
REC. SOB. SUP. CX. CON. PESS. MARINHA - CCCPm
312807722002120131280NS
93403
REC. SOB. SUP. CX. FINANC. IMOB. AERONÁUTICA
522111230011220152211NS
93235
REC. SOB. SUP. CEFET CELSO SUCKOW DA FONSECA
262561530101524426256NS
93236
REC. SOB. SUP. CT. FED. EDUC. TECNOL. MG
262571530151524526257NS
93189
RECURSOS SOB SUPERVISÃO DO CEITEC S.A.
242092452092420924209NS
93208
RECURSOS SOB SUPERVISÃO DO COLÉGIO PEDRO II
262011531671520126201NS
93400
REC. SOB. SUPERV. COMANDO DA AERONÁUTICA
521111200020000152111NS
93402
RECURSOS SOB SUPERVISÃO DO COMANDO DA MARINHA
521317720010000152131NS
93401
REC. SOB. SUPERV. COMANDO DO EXÉRCITO
521211600870000152121NS
93194
REC. SOB. SUP. COMIS. VALORES MOBIL. - CVM
252031730301720225203NS
93187
REC. SOB SUP. COM. NAC. ENERG. NUCLEAR - CNEN
203011132091150120301NS
93416
REC. SOB. SUP. CIA BRAS. TRENS URBANOS - CBTU
292142750592720229214NS
93410
RECURSOS SOB SUPERVISÃO DA CODEVASF
222031950071120122203NS
93367
REC. SOB. SUP. CIA PESQ. REC. MINERAIS - CPRM
292084950012920829208NS
93184
REC. SOB. SUP. CIA NAC. ABASTECIMENTO - CONAB
222111351002221122211NS
93273
REC. SOB. SUP. COMPLEXO HOSP. E SAÚDE UFBA
262321502471522326232NS
93287
REC. SOB. SUP. COMPLEXO HOSP. E SAÚDE UFRJ
262451504321523626245NS
93286
REC. SOB. SUP. COMPLEXO HOSP. E SAÚDE UFRN
262431504261523426243NS
93365
REC. SOB. SUP. CONS. ADM. DEF. ECON. - CADE
302113030013021130211NS
93186
RECURSOS SOB SUPERVISÃO DO CNPQ
205013640013620120501NS
93427
REC. SOB. SUP. CONSELHO NACIONAL DO MIN. PÚB.
590005900010000159000NS
93387
REC. SOB. SUPERV. CGU - ADM. DIRETA
370003700010000137000NS
93359
REC. SOB. SUPERV. DEFENSORIA PÚBLICA DA UNIÃO
290002900010000129000NS
93363
REC. SOB. SUP. DEPARTAMENTO DE POLÍCIA FED.
301082003360000130108NS
93362
REC. SOB. SUP. DEPART. POLÍCIA RODOV. FED.
308022001090000130802NS
93392
RECURSOS SOB SUPERVISÃO DO DNIT
392523930033925239252NS
93413
RECURSOS SOB SUPERVISÃO DO DNOCS
222041138021120322204NS
93419
REC. SOB. SUP. EMBRATUR - INST. BRAS. TURISMO
206041850011820320604NS
93178
REC. SOB SUP EMP. BRASIL COMUNIC. S.A. - EBC
204121154062041520412NS
93183
RECURSOS SOB SUPERVISÃO DA EMBRAPA
222021350371320322202NS
93345
REC. SOB. SUP. EMP. BRAS. SERVIÇOS HOSP.
264431550072644326443NS
93370
REC. SOB. SUP. EMP. PESQUISA ENERGÉTICA - EPE
323143250013231432314NS
93393
REC. SOB SUP. EMP. PLANEJ. LOGÍST. S.A. - EPL
392533950013925339253NS
93415
RECURSOS SOB SUPERVISÃO DA TRENSURB S.A.
292052750602720829205NS
93463
REC. SOB SUP. ENC FIN UNIÃO - PGTO SENT JUD
250001700130000125000NS
93378
REC. SOB. SUPERV. ESCOLA SUPERIOR MPU
340002002340000134000NS
93380
REC. SOB. SUP. FUNDAÇÃO ALEXANDRE DE GUSMÃO
352012440012429035201NS
93421
REC. SOB. SUP. FUND. BIBLIOTECA NAC. - BN
204043440423420920404NS
93420
REC. SOB. SUP. FUNDAÇÃO CASA DE RUI BARBOSA
204033440013420120403NS
93265
REC. SOB SUP. FUND. COORD. AP. PES. NÍV. SUP.
262911540031527926291NS
93422
REC. SOB. SUPERV. FUNDAÇÃO CULTURAL PALMARES
204083440413420820408NS
93203
REC. SOB. SUP. FUND. ESCOLA NAC. ADM. PÚBLICA
202021147021140120202NS
93202
RECURSOS SOB SUPERVISÃO DO IBGE
252051146011130125205NS
93266
REC. SOB. SUPERV. FUNDAÇÃO JOAQUIM NABUCO
262923440023420226292NS
93200
RECURSOS SOB SUPERVISÃO DA FUNDACENTRO
372012640012620137201NS
93423
REC. SOB. SUPERV. FUNDAÇÃO NACIONAL DE ARTES
204124032014040220412NS
93383
REC. SOB. SUPERV. FUNDAÇÃO NACIONAL DE SAÚDE
362112550003621136211NS
93364
REC. SOB. SUP. FUND. NAC. ÍNDIO - FUNAI
302021940881920830202NS
93405
RECURSOS SOB SUPERVISÃO DO FUNDAÇÃO OSÓRIO
522221642041620452222NS
93381
REC. SOB. SUPERV. FUNDAÇÃO OSWALDO CRUZ
362012544202520136201NS
93248
REC. SOB. SUPERV. FUND. UNIV. BRASÍLIA
262711540401525726271NS
93247
REC. SOB. SUPERV. FUND. UNIV. AMAZONAS
262701540391525626270NS
93246
REC. SOB. SUPERV. FUND. UNIV. RIO DE JANEIRO
262691540341525526269NS
93269
REC. SOB SUP. FUND. UN. FED. GRANDE DOURADOS
263501545022635026350NS
93261
RECURSOS SOB SUPERVISÃO DA FUNDAÇÃO UFCSPA
262841540321527026284NS
93253
REC. SOB. SUP. FUND. UNIV. FED. MATO GROSSO
262761540451526226276NS
93260
RECURSOS SOB SUPERVISÃO DA FUNDAÇÃO UFMS
262831540541526926283NS
93254
REC. SOB. SUPERV. FUND. UNIV. FED. OURO PRETO
262771540461526326277NS
93255
REC. SOB. SUPERV. FUND. UNIV. FED. PELOTAS
262781540471526426278NS
93245
REC. SOB. SUPERV. FUND. UNIV. FED. RONDÔNIA
262681540551525426268NS
93229
REC. SOB. SUPERV. FUND. UNIV. FED. RORAIMA
262501540801527726250NS
93257
REC. SOB. SUPERV. FUND. UNIV. FED. SÃO CARLOS
262801540491526626280NS
93262
RECURSOS SOB SUPERVISÃO DA FUNDAÇÃO UFSJ
262851540691527626285NS
93258
REC. SOB. SUPERV. FUND. UNIV. FED. SERGIPE
262811540501526726281NS
93259
REC. SOB. SUPERV. FUND. UNIV. FED. VIÇOSA
262821540511526826282NS
93271
REC. SOB. SUPERV. FUND. UNIV. FED. ABC
263521545032635226352NS
93252
REC. SOB. SUPERV. FUND. UNIV. FED. ACRE
262751540441526126275NS
93263
REC. SOB. SUPERV. FUND. UNIV. FED. AMAPÁ
262861542151527826286NS
93249
REC. SOB. SUPERV. FUND. UNIV. FED. MARANHÃO
262721540411525826272NS
93243
REC. SOB. SUPERV. FUND. UNIV. FED. PAMPA
262661543592626626266NS
93256
REC. SOB. SUPERV. FUND. UNIV. FED. PIAUÍ
262791540481526526279NS
93250
REC. SOB. SUPERV. FUND. UNIV. FED. RIO GRANDE
262731540421525926273NS
93230
REC. SOB. SUPERV. FUND. UNIV. FED. TOCANTINS
262511544192625126251NS
93209
RECURSOS SOB SUPERVISÃO DA FUNDAÇÃO UNIVASF
262301544212623026230NS
93455
RECURSOS SOB SUPERVISÃO DO FUNDO AERONÁUTICO
529111210020000152911NS
93901
REC. SOB SUP. FUNDO CONST. DF - FCDF
259151703920000125915NS
93408
REC. SOB SUP. FUNDO ADM. HOSP. FORÇAS ARMAS
520001124080000152000NS
93904
REC. SOB. SUP. FUNDO DE AMPARO AO TRABALHADOR
389013809100000138901NS
93481
REC. SOB SUPERVISÃO DO FIES - MINIST. EDUC.
262981531731525326298NS
93179
REC. SOB. SUPERV. FUNDO DE IMPRENSA NACIONAL
201161102450000120116NS
93469
REC. SOB. SUP. FUNDO ESP. FIN. CAMPANHAS
201011107410000120101NS
93436
REC. SOB SUP. FUN. NAC. DES. CIENT. TECNOL.
249012409010000124901NS
93268
REC. SOB. SUP. FUN. NAC. DESENV. EDUC.
262981531731525326298NS
93386
REC. SOB. SUPERV. FUNDO NACIONAL DE SAÚDE
360002570010000136000NS
93461
REC. SOB SUP. FUN. NAC. CRIANÇA ADOL. - FNCA
309133070010000130913NS
93457
RECURSOS SOB SUPERVISÃO DO FUNDO NAVAL
521326720010000152132NS
93428
REC. SOB. SUP. GAB.VICE-PRES. REPÚBLICA
600001101010000160000NS
93300
REC. SOB. SUP. HOSP. CLÍNICAS FUND. UFPEL
262781541451526426278NS
93277
REC. SOB. SUP. HOSP. CLÍNICAS UFGO
262351530541522626235NS
93280
REC. SOB. SUP. HOSP. CLÍNICAS UFMG
262381532611522926238NS
93285
REC. SOB. SUP. HOSP. CLÍNICAS UFPE
262421530941523326242NS
93298
REC. SOB. SUP. HOSP. CLÍNICAS UFU
262741502331526026274NS
93284
REC. SOB. SUP. HOSP. CLÍNICAS UFPR
262411538081523226241NS
93292
REC. SOB. SUP. HOSP. CLÍNICAS UFTM
262541502211524226254NS
93267
REC. SOB. SUP. HOSP. CLÍNICAS DE PORTO ALEGRE
262941550011527526294NS
93299
REC. SOB. SUPERV. HOSPITAL JÚLIO MULLER
262761540701526226276NS
93382
REC. SOB SUP. HOSP. NOSSA SRA CONCEIÇÃO S.A.
362103660033621036210NS
93291
REC. SOB. SUP. HOSP. UNIV. ALCIDES CARNEIRO
262521581961528126252NS
93278
REC. SOB. SUP. HOSP. UNIVERS. ANTONIO PEDRO
263661530571522726366NS
93282
REC. SOB SUP. HOSP. UNIV. BETTINA FERRO SOUZA
262391502201523026239NS
93276
REC. SOB SUP. HOSP. UNIV. CASSIANO ANT.MORAIS
262341530471522526234NS
93296
REC. SOB. SUP. HOSP. UNIV. FUND. UFMA
262721540721525826272NS
93302
REC. SOB. SUP. HOSP. UNIV. FUND. UFSE
262811541771526726281NS
93301
REC. SOB. SUP. HOSP. UNIV. FUND. UFPI
262791502371526526279NS
93347
REC. SOB. SUPERV. HOSP. UNIVERS. UNIFESP
262621524771525026262NS
93288
REC. SOB. SUP. HOSP. UNIV. UFDG
263501502482635026350NS
93279
REC. SOB. SUP. HOSP. UNIV. UFJF
262371502311522826237NS
93352
REC. SOB. SUP. HOSP. UNIV. UNIVASF
262301547162623026230NS
93295
REC. SOB. SUPERV. HOSP. UNIVERS. BRASÍLIA
262711541061525726271NS
93290
REC. SOB. SUPERV. HOSP. UNIVERS. SANTA MARIA
